Date,Content,Reviewer-Name,Rating
Stayed in January 2025,"N/AThank you to Zoltan and Holiday, they rralky looked after us. I stayed one night with my dad for a family get together, there was 20 of us meeting at the Ibis, thank you to all the staff that day, they really look after us. And thank you for the upgrade, room with a balcony, you all made our stay so lovely and memorable.Stayed in January 2025",Pauline,10
Stayed in February 2025,Good central location. Nice breakfast.Stayed in February 2025,Alison,9.0
Stayed in February 2025,"NothingThe staff, the location, the room, the decor and the bathroom. Breakfast was excellent.Stayed in February 2025",Theresa,10
Stayed in February 2025,"There wasn't anything we didn't enjoy.The location was perfect. The room is comfortable and clean, and breakfast is a delicious delight.Stayed in February 2025",Emma,9.0
Stayed in February 2025,Air conditioning was quite clunky and noisy throughout the night. Room was very small.Fabulous shower! Friendly staff. Great location.Stayed in February 2025,Rachel,8.0
Stayed in January 2025,The room is small but comfortable. The shower is good. Breakfast is really good with lots of options (including for vegan/vegeterian)Stayed in January 2025,Marie-sophie,8.0
Stayed in February 2025,NothingEverythingStayed in February 2025,W,10
Stayed in February 2025,room was cold and had a musty smell.lots of varietyStayed in February 2025,Jamie,8.0
Stayed in February 2025,"Great central location, rooms small but perfectStayed in February 2025",Jill,9.0
Stayed in February 2025,BreakfastBreakfast was actually very average and this is the area that should be improved.  It is not up to the same standard as the rest of the hotel.Stayed in February 2025,Taylor,8.0
Stayed in December 2024,Everything but was so centralStayed in December 2024,Kate,10
Stayed in January 2025,"The room was a bit cold when we first went in, and the heating was a bit quirky. It did get going though, so a minor niggle.The staff were very welcoming and helpful. The hotel is very clean and modern and the breakfast offer was excellent. Great bed and en-suite. The location is a real plus, it's about a 10 minute walk from Waverley Station, and handy for anything central in Edinburgh.Stayed in January 2025",Mike,9.0
Stayed in January 2025,Unfortunately not much in the way of vegan options for the included breakfast.Room was very clean and modern. Location very central and easy to get into town on foot. Good restaurants nearby. Very helpful staff.Stayed in January 2025,Tariro,8.0
Stayed in February 2025,"The breakfast buffet needs more food variety.The location is excellent as it is just walking distance from many restaurants, shops, cafés and attractions in Edinburgh. The decoration and furniture looks new and stylish. The hotel have a good Wifi and the staff are friendly.Stayed in February 2025",Mohammad,9.0
Stayed in February 2025,"the breakfast layout, but i understand limited space and you cant please everyone ☺️amazing location and modern feelStayed in February 2025",Ruby,9.0
Stayed in February 2025,"Rooms are a little on the small side.Beds are very comfortable.  Great shower.  Friendly, helpful staff.Stayed in February 2025",Ros,8.0
Stayed in February 2025,Nothing I did not likeThe breakfast was excellent  and excellent service and great location walking distance everywhereStayed in February 2025,Hugo,10
Stayed in February 2025,"Breakfast could be better but did the jobThe room was nice but air con is above room took a while for room to be heated, Great location sight seeing bus stops in square and there's a tram stop across from hotel.Tram.goes to Airport, close to the city centre and designer shops and upscale restraints are within the square where hotel is.Bar at hotel is 24/7 tooStayed in February 2025",Viola,9.0
Stayed in February 2025,Nothing I did t like all amazingThe location was amazing hopped on the tram from Edinburgh airport and the tram left you off right just across the road from the hotelStayed in February 2025,Janice,10
Stayed in February 2025,Nothing it was perfectExcellent location and very clean room for an excellent price with fabulous continental breakfast includedStayed in February 2025,Helen,10
Stayed in February 2025,Shower was particularly marvellousEverythingStayed in February 2025,Gillian,10
Stayed in February 2025,"Live music 
Breakfast 
Friendly staff 
Very clean 
Great atmosphereStayed in February 2025",Jade,10
Stayed in February 2025,Some droning outside noise was disturbing first nightTop floor Works room wonderful with wrap around balconyStayed in February 2025,Joanne,9.0
Stayed in February 2025,"A/C a bit noisy and some outside noise from before 6am which sounded like bins and doors slamming. I had asked for a quiet room and suggest first floor will be noisier than higher floors - would have preferred 3rd/ 4thAmazing location, lovely ground floor cafe/ bar/ reception and super helpful staff- at bar, reception and person who brought me up some toothpaste when I had forgotten mineStayed in February 2025",Sue,8.0
Stayed in January 2025,Although the bedroom was well equipped and the bed very comfortable it was very small… especially for my 6’4” husband! I’m glad we took our own breakfast tea as it seemed only herbal teas were supplied.A warm welcome. Excellent location. Very clean. Good Continental breakfast. Comfortable bar area. Nice bathroom soaps.Stayed in January 2025,Christine,9.0
Stayed in January 2025,Only thing that rooms were quite small but for the short stay we coped just fine!Location! Modern and stylish!Loved the options at breakfast! Friendly staff! What else there is to ask?We stayed in few more places in Scotland during our holidays but this was the best stay for me!Stayed in January 2025,Maria,9.0
Stayed in January 2025,"N/aStyle and decor, Location and facilities all excellentStayed in January 2025",Judith,10
Stayed in December 2024,Breakfast was chaotic no staff to seat you or helpGood locationStayed in December 2024,Sheila,9.0
Stayed in January 2025,"The room was very small. It was smaller than most hotel rooms where I have stayed with Ibis. There was not much natural light either.  It felt a bit boxed in. I think most of the rooms are very small in this hotel. My impression was that they had renovated the building and had made as many rooms as they could. Like many modern hotels, you can't open the window to get fresh air, which I found frustrating. I could not turn down the temperature past 18 centigrades.The location is perfect. It is close to the major attractions as well as the train station. The staff was super welcoming and flexible. They allowed me to check in a bit earlier at no extra charge and were patient with the explanations about the place. The room was well-decorated and very clean. There was a lovely kettle with tea, coffee, and cookies in the room. There was a nice shower in the bathroom. The breakfast which is included was amazing!! 5 stars out of 5. It easily can be a brunch because they have a wide array of pastries, cereals, cold cuts, and drinks.Stayed in January 2025",Brett,8.0
Stayed in January 2025,"Nothing!Great staff, lovely decor, exceptionally clean, visible supporting positive humanitarian projects. Breakfast was amazingStayed in January 2025",Omond,10
Stayed in January 2025,"NothingHotel was very central ,really nice  comfortable clean rooms  breakfast was one of the best ,plenty of variety and spacious dining area ,music in the bar was also good. Really enjoyed our stay thereStayed in January 2025",Tereasa,10
Stayed in January 2025,Stayed for 2 nights' great location comfortable room. Really enjoyed continental breakfast.  Friendly bar with live music onStayed in January 2025,Simon,10
Stayed in January 2025,Excellent location in the centre but very quiet. Room was lovely a good size and a fabulous shower. The staff were all lovely and helpful. Good continental breakfast selection. Able to leave cases before we checked in. This is a lovely place to stay in Edinburgh.Stayed in January 2025,Bevm,10
Stayed in January 2025,no complaintsThe staff looked after us with a room upgrade due to having a baby and to allow more space for us.Stayed in January 2025,Lindsey,10
Stayed in January 2025,"Early morning noise from the street ( building work? commencing around 5 am !! ) Very noisy and double glazing didn't seem to help. Really did impact on sleep in room 207. 
I'd definitely ask for a room away from any building work if staying at this hotel again.Cleanliness of hotel
Professional, friendly staff
Location of hotelStayed in January 2025",Sally,8.0
Stayed in January 2025,"Room little pit small so for couples with big suitcases it’s hard to fit inside and open them had to be closed and items are all out in the cupboardThe hotel is very close in the centre walkable distance from the train station and close to big shopping centre 
Breakfast was amazing and has variety of food 
Rooms are clean and loved the shower area 
Staff are super friendly had an amazing stay very recommendedStayed in January 2025",Abdulrahman,9.0
