Date,Content,Reviewer-Name,Rating
Stayed in February 2025,"Great central location, rooms small but perfectStayed in February 2025",Jill,8.7
Stayed in February 2025,BreakfastBreakfast was actually very average and this is the area that should be improved.  It is not up to the same standard as the rest of the hotel.Stayed in February 2025,Taylor,9.0
Stayed in December 2024,Everything but was so centralStayed in December 2024,Kate,8.0
Stayed in January 2025,"The room was a bit cold when we first went in, and the heating was a bit quirky. It did get going though, so a minor niggle.The staff were very welcoming and helpful. The hotel is very clean and modern and the breakfast offer was excellent. Great bed and en-suite. The location is a real plus, it's about a 10 minute walk from Waverley Station, and handy for anything central in Edinburgh.Stayed in January 2025",Mike,10
Stayed in January 2025,Unfortunately not much in the way of vegan options for the included breakfast.Room was very clean and modern. Location very central and easy to get into town on foot. Good restaurants nearby. Very helpful staff.Stayed in January 2025,Tariro,9.0
Stayed in February 2025,"The breakfast buffet needs more food variety.The location is excellent as it is just walking distance from many restaurants, shops, cafés and attractions in Edinburgh. The decoration and furniture looks new and stylish. The hotel have a good Wifi and the staff are friendly.Stayed in February 2025",Mohammad,8.0
Stayed in February 2025,"the breakfast layout, but i understand limited space and you cant please everyone ☺️amazing location and modern feelStayed in February 2025",Ruby,9.0
Stayed in February 2025,"Rooms are a little on the small side.Beds are very comfortable.  Great shower.  Friendly, helpful staff.Stayed in February 2025",Ros,9.0
Stayed in February 2025,Nothing I did not likeThe breakfast was excellent  and excellent service and great location walking distance everywhereStayed in February 2025,Hugo,8.0
Stayed in February 2025,"Breakfast could be better but did the jobThe room was nice but air con is above room took a while for room to be heated, Great location sight seeing bus stops in square and there's a tram stop across from hotel.Tram.goes to Airport, close to the city centre and designer shops and upscale restraints are within the square where hotel is.Bar at hotel is 24/7 tooStayed in February 2025",Viola,10
Stayed in February 2025,Nothing I did t like all amazingThe location was amazing hopped on the tram from Edinburgh airport and the tram left you off right just across the road from the hotelStayed in February 2025,Janice,9.0
Stayed in February 2025,Nothing it was perfectExcellent location and very clean room for an excellent price with fabulous continental breakfast includedStayed in February 2025,Helen,10
Stayed in February 2025,Shower was particularly marvellousEverythingStayed in February 2025,Gillian,10
Stayed in February 2025,"Live music 
Breakfast 
Friendly staff 
Very clean 
Great atmosphereStayed in February 2025",Jade,10
Stayed in February 2025,Some droning outside noise was disturbing first nightTop floor Works room wonderful with wrap around balconyStayed in February 2025,Joanne,10
Stayed in February 2025,"A/C a bit noisy and some outside noise from before 6am which sounded like bins and doors slamming. I had asked for a quiet room and suggest first floor will be noisier than higher floors - would have preferred 3rd/ 4thAmazing location, lovely ground floor cafe/ bar/ reception and super helpful staff- at bar, reception and person who brought me up some toothpaste when I had forgotten mineStayed in February 2025",Sue,9.0
Stayed in January 2025,"Good location, nice clean roomsStayed in January 2025",Sesame,8.0
